Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
84502.4522	1	28.764	13.0013	101219.739	101345.229	4.747	0	0	0	26.432	-3.51	-2.82	-0.29	-0.03	-0.02	1.12	-1.00	1.68	101219.739	101345.229	24.754	1.184	-0.666	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.4746	1	28.764	13.0013	101219.739	101345.229	4.747	0	0	0	26.432	-3.25	-3.33	-0.21	-0.03	-0.02	1.12	-0.85	1.47	101219.739	101345.229	24.754	1.184	-0.666	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.5057	1	29.296	13.0013	101217.792	101320.733	4.747	0	0	0	26.432	-2.64	-4.09	-0.35	-0.03	-0.02	1.01	-0.97	1.75	101217.792	101320.733	24.758	1.184	-0.504	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.5279	1	29.296	13.0013	101217.792	101320.733	4.747	0	0	0	26.432	-2.64	-4.09	-0.35	-0.03	-0.02	1.01	-0.97	1.75	101217.792	101320.733	24.758	1.184	-0.504	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.5500	1	29.296	13.0013	101217.792	101320.733	4.747	0	0	0	26.432	-3.80	-2.64	-0.20	-0.02	-0.01	0.98	-0.71	1.05	101217.792	101320.733	24.758	1.184	-0.504	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.5719	1	29.296	13.0013	101217.792	101320.733	4.747	0	0	0	26.432	-3.80	-2.64	-0.20	-0.02	-0.01	0.98	-0.71	1.05	101217.792	101320.733	24.758	1.184	-0.504	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.6009	1	29.296	13.0013	101217.792	101320.733	4.747	0	0	0	26.432	-3.53	-3.24	-0.29	-0.04	-0.01	1.00	-0.84	2.01	101217.792	101320.733	24.758	1.184	-0.504	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.6266	1	29.900	13.0013	101215.581	101318.522	4.747	0	0	0	26.432	-3.79	-2.63	-0.40	-0.03	-0.03	1.01	-1.52	1.60	101215.581	101318.522	24.760	1.184	-0.319	None	0.000000	0.000000	0	0	1	102.941	1	50	0	@t#c%$0#1$	
84502.6488	1	29.900	13.3676	101215.581	101318.522	4.747	0	0	0	26.432	-3.79	-2.63	-0.40	-0.03	-0.03	1.01	-1.52	1.60	101215.581	101318.522	24.760	1.184	-0.319	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.6779	1	29.900	13.3676	101215.581	101318.522	4.747	0	0	0	26.432	-3.13	-3.71	-0.27	-0.02	-0.00	1.01	-0.19	1.11	101215.581	101318.522	24.760	1.184	-0.319	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.6999	1	29.900	13.3676	101215.581	101318.522	4.747	0	0	0	26.432	-3.74	-2.56	-0.27	-0.03	-0.02	1.00	-1.04	1.57	101215.581	101318.522	24.760	1.184	-0.319	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.7222	1	29.900	13.3676	101215.581	101318.522	4.747	0	0	0	26.432	-3.74	-2.56	-0.27	-0.03	-0.02	1.00	-1.04	1.57	101215.581	101318.522	24.760	1.184	-0.319	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.7444	1	29.678	13.3676	101216.393	101325.216	4.747	0	0	0	26.432	-3.45	-3.40	-0.21	-0.02	-0.01	1.01	-0.67	1.34	101216.393	101325.216	24.753	1.184	-0.387	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.8077	1	29.678	13.3676	101216.393	101325.216	11.698	0	0	0	27.827	-3.30	-3.15	-0.24	-0.02	-0.01	1.12	-0.57	0.92	101216.393	101325.216	24.753	1.184	-0.387	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.8300	1	29.678	13.3676	101216.393	101325.216	11.698	0	0	0	27.827	-3.04	-3.45	-0.43	-0.03	-0.01	1.01	-0.83	1.52	101216.393	101325.216	24.753	1.184	-0.387	None	0.000000	0.000000	0	0	1	108.824	1	50	0	@t#c%$0#1$	
84502.8630	1	29.678	31.1824	101216.393	101325.216	11.698	0	0	0	27.827	-3.24	-3.28	-0.31	-0.03	-0.02	0.88	-1.46	2.03	101216.393	101325.216	24.753	1.184	-0.387	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84502.8941	1	29.678	31.1824	101216.393	101325.216	11.698	0	0	0	27.827	-3.24	-3.28	-0.31	-0.03	-0.02	0.88	-1.46	2.03	101216.393	101325.216	24.753	1.184	-0.387	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84502.9200	1	29.626	31.1824	101216.585	101808.742	11.698	0	0	0	27.827	-3.24	-3.21	-0.35	-0.03	-0.02	1.01	-0.92	1.55	101216.585	101808.742	24.757	1.184	-0.403	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84502.9447	1	29.626	31.1824	101216.585	101808.742	11.698	0	0	0	27.827	-3.28	-3.10	-0.23	-0.03	-0.01	1.00	-0.81	1.65	101216.585	101808.742	24.757	1.184	-0.403	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84502.9667	1	29.626	31.1824	101216.585	101808.742	11.698	0	0	0	27.827	-3.28	-3.10	-0.23	-0.03	-0.01	1.00	-0.81	1.65	101216.585	101808.742	24.757	1.184	-0.403	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84502.9886	1	29.626	31.1824	101216.585	101808.742	11.698	0	0	0	27.827	-3.36	-3.05	-0.26	-0.03	-0.01	1.00	-0.56	1.73	101216.585	101808.742	24.757	1.184	-0.403	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84503.0140	1	29.626	31.1824	101216.585	101808.742	11.698	0	0	0	27.827	-3.27	-3.40	-0.32	-0.02	-0.02	1.01	-0.97	1.14	101216.585	101808.742	24.757	1.184	-0.403	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84503.0434	1	29.420	31.1824	101217.337	101809.493	11.698	0	0	0	27.827	-3.27	-3.40	-0.32	-0.02	-0.02	1.01	-0.97	1.14	101217.337	101809.493	24.757	1.184	-0.466	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84503.0655	1	29.420	31.1824	101217.337	101809.493	11.698	0	0	0	27.827	-3.24	-3.16	-0.34	-0.03	-0.01	1.01	-0.81	1.45	101217.337	101809.493	24.757	1.184	-0.466	None	0.000000	0.000000	0	0	1	592.157	1	50	0	@t#c%$0#1$	
84503.0878	1	29.420	24.2735	101217.337	101809.493	11.698	0	0	0	27.827	-3.24	-3.16	-0.34	-0.03	-0.01	1.01	-0.81	1.45	101217.337	101809.493	24.757	1.184	-0.466	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.1170	1	29.420	24.2735	101217.337	101809.493	11.698	0	0	0	27.827	-3.40	-3.28	-0.34	-0.03	-0.02	0.99	-0.96	1.91	101217.337	101809.493	24.757	1.184	-0.466	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.1392	1	29.420	24.2735	101217.337	101809.493	11.698	0	0	0	27.827	-3.37	-3.34	-0.37	-0.02	-0.02	1.00	-0.98	1.12	101217.337	101809.493	24.757	1.184	-0.466	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.1613	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.37	-3.34	-0.37	-0.02	-0.02	1.00	-0.98	1.12	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.1835	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.48	-3.16	-0.29	-0.03	-0.02	1.12	-0.77	1.39	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.2093	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.27	-3.11	-0.43	-0.03	-0.01	0.88	-0.83	2.01	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.2317	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.27	-3.11	-0.43	-0.03	-0.01	0.88	-0.83	2.01	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.2539	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.47	-3.10	-0.20	-0.02	-0.02	1.00	-0.87	1.34	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.2760	1	30.015	24.2735	101215.163	101573.986	11.698	0	0	0	27.827	-3.47	-3.10	-0.20	-0.02	-0.02	1.00	-0.87	1.34	101215.163	101573.986	24.757	1.184	-0.284	None	0.000000	0.000000	0	0	1	358.824	1	50	0	@t#c%$0#1$	
84503.3090	1	29.662	22.3754	101216.452	101575.275	11.698	0	0	0	27.827	-3.76	-2.87	-0.31	-0.03	-0.01	0.88	-0.79	2.02	101216.452	101575.275	24.760	1.184	-0.392	None	0.000000	0.000000	0	0	1	304.902	1	50	0	@t#c%$0#1$	
84503.3682	1	29.662	22.3754	101216.452	101575.275	11.698	0	0	0	27.827	-3.57	-2.82	-0.38	-0.02	-0.02	1.01	-0.91	1.19	101216.452	101575.275	24.760	1.184	-0.392	None	0.000000	0.000000	0	0	1	304.902	1	50	0	@t#c%$0#1$	
84503.3933	1	29.662	22.3754	101216.452	101575.275	10.150	0	0	0	16.347	-3.57	-2.82	-0.38	-0.02	-0.02	1.01	-0.91	1.19	101216.452	101575.275	24.760	1.184	-0.392	None	0.000000	0.000000	0	0	1	304.902	1	50	0	@t#c%$0#1$	
84503.4170	1	29.051	22.3754	101218.687	101523.589	10.150	0	0	0	16.347	-3.48	-3.24	-0.26	-0.01	-0.02	1.00	-1.21	0.73	101218.687	101523.589	24.760	1.184	-0.578	None	0.000000	0.000000	0	0	1	304.902	1	50	0	@t#c%$0#1$	
84503.4392	1	29.051	22.3754	101218.687	101523.589	10.150	0	0	0	16.347	-3.48	-3.24	-0.26	-0.01	-0.02	1.00	-1.21	0.73	101218.687	101523.589	24.760	1.184	-0.578	None	0.000000	0.000000	0	0	1	304.902	1	50	0		
84503.4718	1	29.051	22.3754	101218.687	101523.589	10.150	0	0	0	16.347	-3.57	-3.02	-0.32	-0.03	-0.02	1.00	-0.92	1.96	101218.687	101523.589	24.760	1.184	-0.578	None	0.000000	0.000000	0	0	1	304.902	1	50	0		
84503.4942	1	29.051	22.3754	101218.687	101523.589	10.150	0	0	0	16.347	-3.50	-2.95	-0.26	-0.03	-0.01	1.00	-0.72	1.89	101218.687	101523.589	24.760	1.184	-0.578	None	0.000000	0.000000	0	0	1	304.902	1	50	0		
84503.5207	1	29.051	34.9552	101218.687	101523.589	10.150	0	0	0	16.347	-3.44	-2.98	-0.29	-0.02	-0.02	1.01	-1.02	0.88	101218.687	101523.589	24.760	1.184	-0.578	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.5660	1	29.524	34.9552	101216.958	101961.076	10.150	0	0	0	16.347	-4.00	-2.35	-0.20	-0.03	-0.01	1.01	-0.77	1.43	101216.958	101961.076	24.758	1.184	-0.434	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.5885	1	29.524	34.9552	101216.958	101961.076	10.150	0	0	0	16.347	-4.00	-2.35	-0.20	-0.03	-0.01	1.01	-0.77	1.43	101216.958	101961.076	24.758	1.184	-0.434	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.6106	1	29.524	34.9552	101216.958	101961.076	10.150	0	0	0	16.347	-3.22	-3.48	-0.26	-0.03	-0.01	1.02	-0.74	1.84	101216.958	101961.076	24.758	1.184	-0.434	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.6331	1	29.524	34.9552	101216.958	101961.076	10.150	0	0	0	16.347	-3.22	-3.48	-0.26	-0.03	-0.01	1.02	-0.74	1.84	101216.958	101961.076	24.758	1.184	-0.434	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.6625	1	29.524	34.9552	101216.958	101961.076	10.150	0	0	0	16.347	-2.90	-3.94	-0.32	-0.02	-0.02	1.00	-0.98	1.09	101216.958	101961.076	24.758	1.184	-0.434	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.6886	1	30.029	34.9552	101215.111	101959.229	10.150	0	0	0	16.347	-3.31	-3.21	-0.40	-0.02	-0.01	1.00	-0.67	0.95	101215.111	101959.229	24.760	1.184	-0.280	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.7166	1	30.029	34.9552	101215.111	101959.229	10.150	0	0	0	16.347	-3.60	-2.70	-0.24	-0.04	-0.02	1.00	-1.23	2.03	101215.111	101959.229	24.760	1.184	-0.280	None	0.000000	0.000000	0	0	1	744.118	1	50	0		
84503.7423	1	30.029	0.0000	101215.111	101959.229	10.150	0	0	0	16.347	-3.60	-2.70	-0.24	-0.04	-0.02	1.00	-1.23	2.03	101215.111	101959.229	24.760	1.184	-0.280	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.7814	1	30.029	0.0000	101215.111	101959.229	10.150	0	0	0	16.347	-3.53	-2.99	-0.24	-0.03	-0.01	1.01	-0.78	1.50	101215.111	101959.229	24.760	1.184	-0.280	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.8041	1	30.029	0.0000	101215.111	101959.229	10.150	0	0	0	16.347	-3.36	-3.34	-0.34	-0.02	-0.01	1.00	-0.72	0.95	101215.111	101959.229	24.760	1.184	-0.280	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.8265	1	29.845	0.0000	101215.782	101215.782	10.150	0	0	0	16.347	-3.36	-3.34	-0.34	-0.02	-0.01	1.00	-0.72	0.95	101215.782	101215.782	24.756	1.184	-0.336	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.8557	1	29.845	0.0000	101215.782	101215.782	10.150	0	0	0	16.347	-3.21	-3.30	-0.21	-0.03	-0.01	1.01	-0.69	1.83	101215.782	101215.782	24.756	1.184	-0.336	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.8830	1	29.845	0.0000	101215.782	101215.782	10.150	0	0	0	16.347	-3.13	-3.59	-0.40	-0.03	-0.02	0.88	-0.98	1.97	101215.782	101215.782	24.756	1.184	-0.336	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.9357	1	29.845	0.0000	101215.782	101215.782	6.593	0	0	0	22.375	-3.25	-3.25	-0.32	-0.02	-0.01	1.02	-0.66	1.02	101215.782	101215.782	24.756	1.184	-0.336	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.9632	1	29.987	0.0000	101215.265	101215.265	6.593	0	0	0	22.375	-3.47	-2.93	-0.14	-0.03	-0.02	1.00	-0.98	1.53	101215.265	101215.265	24.759	1.184	-0.293	None	0.000000	0.000000	0	0	1	0	1	50	0		
84503.9961	1	29.987	23.6009	101215.265	101215.265	6.593	0	0	0	22.375	-2.84	-3.65	-0.26	-0.03	-0.02	1.00	-1.34	1.73	101215.265	101215.265	24.759	1.184	-0.293	None	0.000000	0.000000	0	0	1	339.216	1	50	0		
84504.0185	1	29.987	23.6009	101215.265	101215.265	6.593	0	0	0	22.375	-2.84	-3.65	-0.26	-0.03	-0.02	1.00	-1.34	1.73	101215.265	101215.265	24.759	1.184	-0.293	None	0.000000	0.000000	0	0	1	339.216	1	50	0		
