Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
47755.1360	0	-273.112	0.0000	102328.881	102328.881	7.924	0	0	0	10.841	-3.30	-3.42	-0.49	1.00	0.20	0.13	11.49	-76.41	102328.881	102328.881	24.461	1.198	-0.065		0.000000	0.000000	0	0	1	0	0	0	0	-0.030	-0.001	0.003	0.04	1	9008	8668	@t#c%$0#1$	
47755.1584	0	-273.112	0.0000	102328.881	102328.881	7.924	0	0	0	10.841	-3.27	-3.57	-0.58	1.00	0.19	0.13	10.92	-76.84	102328.881	102328.881	24.461	1.198	-0.065		0.000000	0.000000	0	0	1	0	0	0	0	-0.030	-0.001	0.003	0.04	1	9008	8668	@t#c%$0#1$	
47755.1833	0	-273.400	0.0000	102329.946	102329.946	7.924	0	0	0	10.841	-3.51	-3.30	-0.43	0.99	0.19	0.13	10.99	-76.80	102329.946	102329.946	24.463	1.198	-0.153		0.000000	0.000000	0	0	1	0	0	0	0	-0.030	-0.001	0.003	0.04	1	9008	8668	@t#c%$0#1$	
47755.2273	0	-273.400	0.0000	102329.946	102329.946	7.924	0	0	0	10.841	-3.51	-3.30	-0.43	0.99	0.19	0.13	10.99	-76.80	102329.946	102329.946	24.463	1.198	-0.153		0.000000	0.000000	0	0	1	0	0	0	0	-0.030	-0.001	0.003	0.04	1	9008	8668	@t#c%$0#1$	
47755.2551	0	-273.400	0.0000	102329.946	102329.946	7.924	0	0	0	10.841	-3.27	-3.22	-0.40	0.99	0.19	0.12	10.96	-77.03	102329.946	102329.946	24.463	1.198	-0.153		0.000000	0.000000	0	0	1	0	0	0	0	-0.030	-0.001	0.003	0.04	1	9008	8668	@t#c%$0#1$	
47755.3100	0	-273.400	0.0000	102329.946	102329.946	8.605	0	0	0	8.882	-3.50	-3.37	-0.55	1.00	0.19	0.25	10.56	-72.58	102329.946	102329.946	24.463	1.198	-0.153		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.3324	0	-273.354	0.0000	102329.775	102329.775	8.605	0	0	0	8.882	-3.51	-3.27	-0.46	1.00	0.20	0.13	11.22	-76.44	102329.775	102329.775	24.462	1.198	-0.139		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.3580	0	-273.354	0.0000	102329.775	102329.775	8.605	0	0	0	8.882	-3.22	-3.40	-0.26	1.00	0.20	0.13	11.02	-76.81	102329.775	102329.775	24.462	1.198	-0.139		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.3897	0	-273.354	0.0000	102329.775	102329.775	8.605	0	0	0	8.882	-3.22	-3.40	-0.26	1.00	0.20	0.13	11.02	-76.81	102329.775	102329.775	24.462	1.198	-0.139		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.4172	0	-273.354	0.0000	102329.775	102329.775	8.605	0	0	0	8.882	-3.31	-3.31	-0.49	0.99	0.19	0.14	10.72	-76.77	102329.775	102329.775	24.462	1.198	-0.139		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.4449	0	-273.354	0.0000	102329.775	102329.775	8.605	0	0	0	8.882	-3.51	-3.44	-0.44	0.99	0.18	0.12	10.32	-77.49	102329.775	102329.775	24.462	1.198	-0.139		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.4707	0	-272.942	0.0000	102328.256	102328.256	8.605	0	0	0	8.882	-3.51	-3.44	-0.44	0.99	0.18	0.12	10.32	-77.49	102328.256	102328.256	24.462	1.198	-0.014		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.4931	0	-272.942	0.0000	102328.256	102328.256	8.605	0	0	0	8.882	-3.51	-3.33	-0.55	0.99	0.20	0.12	11.22	-76.78	102328.256	102328.256	24.462	1.198	-0.014		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.5180	0	-272.942	0.0000	102328.256	102328.256	8.605	0	0	0	8.882	-3.37	-3.42	-0.46	1.00	0.19	0.13	10.84	-76.91	102328.256	102328.256	24.462	1.198	-0.014		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.5405	0	-272.942	0.0000	102328.256	102328.256	8.605	0	0	0	8.882	-3.37	-3.42	-0.46	1.00	0.19	0.13	10.84	-76.91	102328.256	102328.256	24.462	1.198	-0.014		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.5630	0	-272.942	0.0000	102328.256	102328.256	8.605	0	0	0	8.882	-3.37	-3.31	-0.29	1.00	0.20	0.13	10.98	-76.83	102328.256	102328.256	24.462	1.198	-0.014		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.5904	0	-273.585	0.0000	102330.627	102330.627	8.605	0	0	0	8.882	-3.31	-3.24	-0.41	0.99	0.19	0.25	10.75	-72.36	102330.627	102330.627	24.464	1.198	-0.209		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.6144	0	-273.585	0.0000	102330.627	102330.627	8.605	0	0	0	8.882	-3.31	-3.24	-0.41	0.99	0.19	0.25	10.75	-72.36	102330.627	102330.627	24.464	1.198	-0.209		0.000000	0.000000	0	0	1	0	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
47755.6390	0	-273.585	0.0000	102330.627	102330.627	8.605	0	0	0	8.882	-3.53	-3.47	-0.38	1.00	0.19	0.25	10.63	-72.49	102330.627	102330.627	24.464	1.198	-0.209		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.009	0.002	0.004	0.00	1	1	8638	@t#c%$0#1$	
