Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
47253.3414	0	-269.295	0.0000	102314.797	102314.797	7.289	0	0	0	15.119	-3.47	-3.31	-0.40	0.99	0.19	0.13	10.92	-76.67	102314.797	102314.797	24.837	1.196	0.405	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.006	0.000	0.00	1	8935	8461	@t#c%$0#1$	
47253.3735	0	-269.295	0.0000	102314.797	102314.797	7.289	0	0	0	15.119	-3.36	-3.53	-0.24	0.99	0.20	0.12	11.22	-76.85	102314.797	102314.797	24.837	1.196	0.405	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.006	0.000	0.00	1	8935	8461	@t#c%$0#1$	
47253.4051	0	-269.295	0.0000	102314.797	102314.797	7.289	0	0	0	15.119	-3.50	-3.18	-0.52	1.00	0.20	0.13	10.96	-76.81	102314.797	102314.797	24.837	1.196	0.405	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.006	0.000	0.00	1	8935	8461	@t#c%$0#1$	
47253.4275	0	-269.295	0.0000	102314.797	102314.797	7.289	0	0	0	15.119	-3.50	-3.18	-0.52	1.00	0.20	0.13	10.96	-76.81	102314.797	102314.797	24.837	1.196	0.405	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.006	0.000	0.00	1	8935	8461	@t#c%$0#1$	
47253.4595	0	-269.419	0.0000	102315.255	102315.255	7.289	0	0	0	15.119	-3.89	-3.08	-0.53	0.99	0.20	0.13	11.28	-76.48	102315.255	102315.255	24.843	1.196	0.367	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.006	0.000	0.00	1	8935	8461	@t#c%$0#1$	
47253.5106	0	-269.419	0.0000	102315.255	102315.255	7.613	0	0	0	13.186	-3.22	-3.28	-0.41	0.99	0.20	0.13	11.38	-76.47	102315.255	102315.255	24.843	1.196	0.367	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.000	-0.007	0.04	1	8933	8474	@t#c%$0#1$	
47253.5329	0	-269.419	0.0000	102315.255	102315.255	7.613	0	0	0	13.186	-3.57	-3.34	-0.47	1.00	0.19	0.25	10.66	-72.48	102315.255	102315.255	24.843	1.196	0.367	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.000	-0.007	0.04	1	8933	8474	@t#c%$0#1$	
47253.5552	0	-269.419	0.0000	102315.255	102315.255	7.613	0	0	0	13.186	-3.57	-3.34	-0.47	1.00	0.19	0.25	10.66	-72.48	102315.255	102315.255	24.843	1.196	0.367	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.000	-0.007	0.04	1	8933	8474	@t#c%$0#1$	
47253.5877	0	-268.490	0.0000	102311.827	102311.827	7.613	0	0	0	13.186	-3.33	-3.01	-0.53	1.00	0.20	0.13	11.08	-76.53	102311.827	102311.827	24.839	1.196	0.650	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.000	-0.007	0.04	1	8933	8474	@t#c%$0#1$	
