Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
77381.5634	1	-208.062	0.0000	102089.050	102089.050	2.538	181.69	92.37	13.32	0.000	-3.07	-3.37	3.80	0.22	-1.01	0.03	-77.80	-12.10	102089.050	102089.050	19.212	1.216	0.437	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.5926	1	-208.062	0.0000	102089.050	102089.050	2.538	181.69	92.37	13.32	0.000	-3.07	-3.37	3.80	0.22	-1.01	0.03	-77.80	-12.10	102089.050	102089.050	19.212	1.216	0.437	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.6179	1	-207.308	0.0000	102086.271	102086.271	2.538	181.69	92.37	13.32	0.000	-2.81	-3.40	-0.63	0.20	-0.97	0.06	-77.61	-11.89	102086.271	102086.271	19.211	1.216	0.667	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.6399	1	-207.308	0.0000	102086.271	102086.271	2.538	181.69	92.37	13.32	0.000	-2.81	-3.40	-0.63	0.20	-0.97	0.06	-77.61	-11.89	102086.271	102086.271	19.211	1.216	0.667	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.6687	1	-207.308	0.0000	102086.271	102086.271	2.538	181.69	92.37	13.32	0.000	-3.22	-3.51	0.11	0.20	-1.00	0.04	-78.77	-11.03	102086.271	102086.271	19.211	1.216	0.667	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.6907	1	-207.308	0.0000	102086.271	102086.271	2.538	181.69	92.37	13.32	0.000	-3.18	-3.60	0.03	0.17	-1.00	0.01	-80.43	-9.54	102086.271	102086.271	19.211	1.216	0.667	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.7235	1	-207.308	0.0000	102086.271	102086.271	2.538	181.69	92.37	13.32	0.000	-3.08	-3.33	-0.47	0.19	-1.12	0.04	-80.38	-9.44	102086.271	102086.271	19.211	1.216	0.667	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.7679	1	-206.185	0.0000	102082.135	102082.135	2.538	181.69	92.37	13.32	0.000	-3.10	-3.28	-0.09	0.19	-1.00	0.04	-79.19	-10.57	102082.135	102082.135	19.210	1.216	1.008	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.7906	1	-206.185	0.0000	102082.135	102082.135	0.000	181.69	92.37	13.32	0.000	-3.10	-3.28	-0.09	0.19	-1.00	0.04	-79.19	-10.57	102082.135	102082.135	19.210	1.216	1.008	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.8125	1	-206.185	0.0000	102082.135	102082.135	0.000	181.69	92.37	13.32	0.000	-3.48	-3.33	-3.86	0.19	-0.98	0.06	-78.74	-10.76	102082.135	102082.135	19.210	1.216	1.008	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.8343	1	-206.185	0.0000	102082.135	102082.135	0.000	181.69	92.37	13.32	0.000	-2.85	-3.71	3.88	0.19	-0.99	0.04	-78.99	-10.74	102082.135	102082.135	19.210	1.216	1.008	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.8802	1	-206.185	0.0000	102082.135	102082.135	0.000	181.69	92.37	13.32	0.000	-2.85	-3.71	3.88	0.19	-0.99	0.04	-78.99	-10.74	102082.135	102082.135	19.210	1.216	1.008	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.9022	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-2.96	-3.60	0.72	0.18	-1.01	-0.02	-79.79	-10.14	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.9244	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-2.96	-3.60	0.72	0.18	-1.01	-0.02	-79.79	-10.14	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.9535	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-2.95	-3.48	3.89	0.14	-1.01	0.06	-81.59	-7.73	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.9755	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-3.31	-3.42	0.06	0.20	-1.01	0.02	-78.87	-11.07	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77381.9974	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-3.31	-3.42	0.06	0.20	-1.01	0.02	-78.87	-11.07	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.0192	1	-207.540	0.0000	102087.127	102087.127	0.000	181.69	92.37	13.32	0.000	-7.79	-3.31	0.43	0.16	-1.00	0.05	-80.24	-9.28	102087.127	102087.127	19.211	1.216	0.596	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.0443	1	-206.509	0.0000	102083.329	102083.329	0.000	181.69	92.37	13.32	0.000	-2.64	-3.47	-0.38	0.18	-1.02	0.01	-79.81	-10.18	102083.329	102083.329	19.208	1.216	0.910	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.0714	1	-206.509	0.0000	102083.329	102083.329	0.000	181.69	92.37	13.32	0.000	-2.64	-3.47	-0.38	0.18	-1.02	0.01	-79.81	-10.18	102083.329	102083.329	19.208	1.216	0.910	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.1027	1	-206.509	0.0000	102083.329	102083.329	0.000	181.69	92.37	13.32	0.000	-3.24	-3.37	0.14	0.17	-0.97	0.02	-80.05	-9.90	102083.329	102083.329	19.208	1.216	0.910	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.1246	1	-206.509	0.0000	102083.329	102083.329	0.000	181.69	92.37	13.32	0.000	-3.57	-3.13	-0.46	0.20	-1.03	0.02	-79.13	-10.83	102083.329	102083.329	19.208	1.216	0.910	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.1467	1	-206.509	0.0000	102083.329	102083.329	0.000	181.69	92.37	13.32	0.000	-3.57	-3.13	-0.46	0.20	-1.03	0.02	-79.13	-10.83	102083.329	102083.329	19.208	1.216	0.910	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.1685	1	-207.009	0.0000	102085.171	102085.171	0.000	181.69	92.37	13.32	0.000	-2.38	-3.24	0.14	0.14	-1.02	0.02	-82.12	-7.82	102085.171	102085.171	19.209	1.216	0.758	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.1961	1	-207.009	0.0000	102085.171	102085.171	0.000	181.69	92.37	13.32	0.000	-3.60	-3.42	-0.70	0.17	-1.01	0.05	-79.96	-9.62	102085.171	102085.171	19.209	1.216	0.758	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.2186	1	-207.009	0.0000	102085.171	102085.171	0.000	181.69	92.37	13.32	0.000	-3.60	-3.42	-0.70	0.17	-1.01	0.05	-79.96	-9.62	102085.171	102085.171	19.209	1.216	0.758	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.2406	1	-207.009	0.0000	102085.171	102085.171	0.000	181.69	92.37	13.32	0.000	-2.92	-3.51	0.11	0.17	-1.01	0.04	-80.44	-9.33	102085.171	102085.171	19.209	1.216	0.758	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.2624	1	-207.009	0.0000	102085.171	102085.171	0.000	181.69	92.37	13.32	0.000	-2.92	-3.51	0.11	0.17	-1.01	0.04	-80.44	-9.33	102085.171	102085.171	19.209	1.216	0.758	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.2884	1	-206.891	0.0000	102084.735	102084.735	0.000	181.69	92.37	13.32	0.000	-3.42	-3.30	-0.69	0.20	-1.00	0.06	-78.37	-11.20	102084.735	102084.735	19.209	1.216	0.794	2017-05-23T00:29:38.000Z	-27.600881	-48.516801	144.1	0.09	3	0	1	50	0	
77382.3480	1	-206.891	0.0000	102084.735	102084.735	0.000	181.96	92.51	13.21	0.000	-3.42	-3.30	-0.69	0.20	-1.00	0.06	-78.37	-11.20	102084.735	102084.735	19.209	1.216	0.794	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.3699	1	-206.891	0.0000	102084.735	102084.735	0.000	181.96	92.51	13.21	0.000	-2.87	-3.62	0.12	0.16	-1.01	-0.01	-81.07	-8.92	102084.735	102084.735	19.209	1.216	0.794	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.3952	1	-206.891	0.0000	102084.735	102084.735	0.000	181.96	92.51	13.21	0.000	-3.21	-3.51	-0.53	0.20	-1.01	-0.03	-78.83	-11.08	102084.735	102084.735	19.209	1.216	0.794	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.4171	1	-206.891	0.0000	102084.735	102084.735	0.000	181.96	92.51	13.21	0.000	-3.21	-3.51	-0.53	0.20	-1.01	-0.03	-78.83	-11.08	102084.735	102084.735	19.209	1.216	0.794	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.4389	1	-206.982	0.0000	102085.072	102085.072	0.000	181.96	92.51	13.21	0.000	-3.04	-3.07	-0.58	0.16	-1.00	0.03	-80.51	-9.34	102085.072	102085.072	19.206	1.216	0.766	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.4609	1	-206.982	0.0000	102085.072	102085.072	0.000	181.96	92.51	13.21	0.000	-3.04	-3.07	-0.58	0.16	-1.00	0.03	-80.51	-9.34	102085.072	102085.072	19.206	1.216	0.766	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.4826	1	-206.982	0.0000	102085.072	102085.072	0.000	181.96	92.51	13.21	0.000	-2.26	-3.37	0.40	0.14	-0.98	0.02	-81.62	-8.33	102085.072	102085.072	19.206	1.216	0.766	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.5066	1	-206.982	0.0000	102085.072	102085.072	0.000	181.96	92.51	13.21	0.000	-2.55	-3.54	-0.92	0.22	-0.97	-0.12	-75.56	-12.50	102085.072	102085.072	19.206	1.216	0.766	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.5283	1	-206.982	0.0000	102085.072	102085.072	0.000	181.96	92.51	13.21	0.000	-2.55	-3.54	-0.92	0.22	-0.97	-0.12	-75.56	-12.50	102085.072	102085.072	19.206	1.216	0.766	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.5536	1	-206.992	0.0000	102085.108	102085.108	0.000	181.96	92.51	13.21	0.000	-2.49	-3.33	0.85	0.15	-1.01	0.05	-81.04	-8.49	102085.108	102085.108	19.210	1.216	0.763	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
77382.5754	1	-206.992	0.0000	102085.108	102085.108	0.000	181.96	92.51	13.21	0.000	-2.49	-3.33	0.85	0.15	-1.01	0.05	-81.04	-8.49	102085.108	102085.108	19.210	1.216	0.763	2017-05-23T00:29:39.000Z	-27.600880	-48.516798	68.0	0.31	3	0	1	50	0	
