Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
79253.1173	1	-225.915	0.0000	102154.826	102154.826	0.000	-7.69	-14.10	9.09	0.000	-2.84	-3.08	-0.55	0.27	-0.97	0.08	-74.09	-15.17	102154.826	102154.826	17.994	1.222	0.330	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.1401	1	-225.915	0.0000	102154.826	102154.826	0.000	-7.69	-14.10	9.09	0.000	-3.04	-2.96	-0.58	0.28	-0.97	0.00	-74.02	-15.98	102154.826	102154.826	17.994	1.222	0.330	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.1694	1	-225.915	0.0000	102154.826	102154.826	0.000	-7.69	-14.10	9.09	0.000	-3.04	-2.96	-0.58	0.28	-0.97	0.00	-74.02	-15.98	102154.826	102154.826	17.994	1.222	0.330	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.1963	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-3.15	-2.99	-0.52	0.25	-0.95	0.12	-73.44	-14.88	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.2319	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-2.76	-3.28	-0.38	0.27	-0.95	0.11	-73.21	-15.47	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.2591	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-2.96	-3.69	-0.23	0.30	-0.97	0.24	-68.43	-16.59	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.2812	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-2.96	-3.69	-0.23	0.30	-0.97	0.24	-68.43	-16.59	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.3030	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-2.64	-3.86	0.00	0.26	-0.98	0.04	-74.91	-14.89	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.3250	1	-225.377	0.0000	102152.845	102152.845	0.000	-7.69	-14.10	9.09	0.000	-2.64	-3.86	0.00	0.26	-0.98	0.04	-74.91	-14.89	102152.845	102152.845	17.994	1.222	0.493	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.3469	1	-225.862	0.0000	102154.632	102154.632	0.000	-7.69	-14.10	9.09	0.000	-2.58	-3.79	-0.23	0.27	-0.99	0.04	-74.70	-15.13	102154.632	102154.632	17.998	1.222	0.346	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.3711	1	-225.862	0.0000	102154.632	102154.632	0.000	-7.69	-14.10	9.09	0.000	-3.28	-3.47	-0.12	0.28	-1.01	0.05	-74.16	-15.54	102154.632	102154.632	17.998	1.222	0.346	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.3930	1	-225.862	0.0000	102154.632	102154.632	0.000	-7.69	-14.10	9.09	0.000	-3.28	-3.47	-0.12	0.28	-1.01	0.05	-74.16	-15.54	102154.632	102154.632	17.998	1.222	0.346	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.4203	1	-225.862	0.0000	102154.632	102154.632	0.000	-7.69	-14.10	9.09	0.000	-2.95	-3.18	-0.64	0.24	-0.98	0.04	-76.35	-13.49	102154.632	102154.632	17.998	1.222	0.346	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.4458	1	-225.862	0.0000	102154.632	102154.632	0.000	-7.69	-14.10	9.09	0.000	-2.95	-2.93	-0.55	0.28	-0.98	0.09	-73.12	-16.03	102154.632	102154.632	17.998	1.222	0.346	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.4849	1	-226.198	0.0000	102155.869	102155.869	0.000	-7.69	-14.10	9.09	0.000	-2.95	-2.93	-0.55	0.28	-0.98	0.09	-73.12	-16.03	102155.869	102155.869	17.997	1.222	0.244	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.5082	1	-226.198	0.0000	102155.869	102155.869	0.000	-7.69	-14.10	9.09	0.000	-3.16	-3.13	-0.17	0.29	-0.96	0.11	-72.25	-16.44	102155.869	102155.869	17.997	1.222	0.244	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.5306	1	-226.198	0.0000	102155.869	102155.869	0.000	-7.69	-14.10	9.09	0.000	-2.67	-3.77	-0.52	0.27	-0.97	0.09	-73.46	-15.62	102155.869	102155.869	17.997	1.222	0.244	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.5528	1	-226.198	0.0000	102155.869	102155.869	0.000	-7.69	-14.10	9.09	0.000	-2.67	-3.77	-0.52	0.27	-0.97	0.09	-73.46	-15.62	102155.869	102155.869	17.997	1.222	0.244	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.5805	1	-225.195	0.0000	102152.171	102152.171	0.000	-7.69	-14.10	9.09	0.000	-2.84	-3.34	-0.43	0.27	-0.99	0.09	-73.87	-15.36	102152.171	102152.171	17.995	1.222	0.549	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.6378	1	-225.195	0.0000	102152.171	102152.171	0.000	-7.69	-14.10	9.09	0.000	-2.84	-3.34	-0.43	0.27	-0.99	0.09	-73.87	-15.36	102152.171	102152.171	17.995	1.222	0.549	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.6705	1	-225.195	0.0000	102152.171	102152.171	0.000	-7.69	-14.10	9.09	0.000	-3.18	-2.87	-0.73	0.29	-0.96	0.13	-71.62	-16.60	102152.171	102152.171	17.995	1.222	0.549	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.6929	1	-225.195	0.0000	102152.171	102152.171	0.000	-7.69	-14.10	9.09	0.000	-2.76	-3.18	-0.15	0.23	-0.94	0.12	-74.76	-13.41	102152.171	102152.171	17.995	1.222	0.549	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.7151	1	-225.195	0.0000	102152.171	102152.171	0.000	-7.69	-14.10	9.09	0.000	-2.76	-3.18	-0.15	0.23	-0.94	0.12	-74.76	-13.41	102152.171	102152.171	17.995	1.222	0.549	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.7483	1	-226.132	0.0000	102155.626	102155.626	0.000	-7.69	-14.10	9.09	0.000	-2.81	-3.54	-0.69	0.31	-0.96	0.09	-71.48	-17.73	102155.626	102155.626	17.997	1.222	0.264	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.7707	1	-226.132	0.0000	102155.626	102155.626	0.000	-7.69	-14.10	9.09	0.000	-2.92	-3.66	0.56	0.27	-1.00	0.06	-74.47	-15.08	102155.626	102155.626	17.997	1.222	0.264	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.7929	1	-226.132	0.0000	102155.626	102155.626	0.000	-7.69	-14.10	9.09	0.000	-2.92	-3.66	0.56	0.27	-1.00	0.06	-74.47	-15.08	102155.626	102155.626	17.997	1.222	0.264	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.8151	1	-226.132	0.0000	102155.626	102155.626	0.000	-7.69	-14.10	9.09	0.000	-2.66	-3.68	-0.50	0.23	-0.99	0.03	-76.60	-13.29	102155.626	102155.626	17.997	1.222	0.264	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.8391	1	-226.132	0.0000	102155.626	102155.626	0.000	-7.69	-14.10	9.09	0.000	-3.02	-3.40	-3.91	0.30	-1.01	0.04	-73.05	-16.81	102155.626	102155.626	17.997	1.222	0.264	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.8810	1	-225.581	0.0000	102153.594	102153.594	0.000	-7.69	-14.10	9.09	0.000	-3.11	-2.95	-0.69	0.24	-0.98	0.06	-75.81	-13.81	102153.594	102153.594	17.996	1.222	0.431	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.9036	1	-225.581	0.0000	102153.594	102153.594	0.000	-7.69	-14.10	9.09	0.000	-3.11	-2.95	-0.69	0.24	-0.98	0.06	-75.81	-13.81	102153.594	102153.594	17.996	1.222	0.431	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.9260	1	-225.581	0.0000	102153.594	102153.594	0.000	-7.69	-14.10	9.09	0.000	-2.99	-2.96	-0.69	0.28	-0.96	0.12	-72.42	-16.06	102153.594	102153.594	17.996	1.222	0.431	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.9534	1	-225.581	0.0000	102153.594	102153.594	0.000	-7.69	-14.10	9.09	0.000	-2.81	-3.01	-0.20	0.27	-0.95	0.13	-72.52	-15.73	102153.594	102153.594	17.996	1.222	0.431	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.9758	1	-225.581	0.0000	102153.594	102153.594	0.000	-7.69	-14.10	9.09	0.000	-2.81	-3.01	-0.20	0.27	-0.95	0.13	-72.52	-15.73	102153.594	102153.594	17.996	1.222	0.431	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79253.9987	1	-225.767	0.0000	102154.281	102154.281	0.000	-7.69	-14.10	9.09	0.000	-2.84	-3.45	-0.58	0.29	-0.97	0.11	-72.13	-16.66	102154.281	102154.281	17.999	1.222	0.375	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79254.0271	1	-225.767	0.0000	102154.281	102154.281	0.000	-7.69	-14.10	9.09	0.000	-2.56	-3.48	0.58	0.26	-0.98	0.06	-74.75	-14.88	102154.281	102154.281	17.999	1.222	0.375	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79254.0511	1	-225.767	0.0000	102154.281	102154.281	0.000	-7.69	-14.10	9.09	0.000	-2.56	-3.48	0.58	0.26	-0.98	0.06	-74.75	-14.88	102154.281	102154.281	17.999	1.222	0.375	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79254.0792	1	-225.767	0.0000	102154.281	102154.281	0.000	-7.69	-14.10	9.09	0.000	-2.76	-3.68	-0.38	0.26	-0.99	0.03	-75.00	-14.90	102154.281	102154.281	17.999	1.222	0.375	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79254.1088	1	-225.767	0.0000	102154.281	102154.281	0.000	-7.69	-14.10	9.09	0.000	-3.16	-3.02	-0.70	0.30	-1.12	0.08	-74.29	-15.21	102154.281	102154.281	17.999	1.222	0.375	2017-05-23T01:00:54.000Z	-27.599454	-48.518120	264.9	0.01	3	0	1	50	0	
79254.1355	1	-225.288	0.0000	102152.514	102152.514	0.000	-7.70	-14.08	9.08	0.000	-3.16	-3.02	-0.70	0.30	-1.12	0.08	-74.29	-15.21	102152.514	102152.514	18.000	1.222	0.521	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.1636	1	-225.288	0.0000	102152.514	102152.514	0.000	-7.70	-14.08	9.08	0.000	-2.61	-3.37	-0.53	0.29	-0.96	0.08	-72.52	-16.82	102152.514	102152.514	18.000	1.222	0.521	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.2199	1	-225.288	0.0000	102152.514	102152.514	0.000	-7.70	-14.08	9.08	0.000	-2.61	-3.37	-0.53	0.29	-0.96	0.08	-72.52	-16.82	102152.514	102152.514	18.000	1.222	0.521	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.2438	1	-225.288	0.0000	102152.514	102152.514	0.000	-7.70	-14.08	9.08	0.000	-2.76	-3.71	0.38	0.29	-0.98	0.06	-73.18	-16.42	102152.514	102152.514	18.000	1.222	0.521	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.2667	1	-225.642	0.0000	102153.819	102153.819	0.000	-7.70	-14.08	9.08	0.000	-3.24	-3.73	-0.29	0.25	-0.99	0.04	-75.51	-14.34	102153.819	102153.819	18.000	1.222	0.413	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.2944	1	-225.642	0.0000	102153.819	102153.819	0.000	-7.70	-14.08	9.08	0.000	-2.76	-2.99	-0.12	0.26	-1.00	0.04	-75.20	-14.60	102153.819	102153.819	18.000	1.222	0.413	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.3270	1	-225.642	0.0000	102153.819	102153.819	0.000	-7.70	-14.08	9.08	0.000	-2.76	-2.99	-0.12	0.26	-1.00	0.04	-75.20	-14.60	102153.819	102153.819	18.000	1.222	0.413	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.3494	1	-225.642	0.0000	102153.819	102153.819	0.000	-7.70	-14.08	9.08	0.000	-3.25	-3.15	-0.81	0.28	-0.98	0.10	-73.02	-16.01	102153.819	102153.819	18.000	1.222	0.413	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.3719	1	-225.642	0.0000	102153.819	102153.819	0.000	-7.70	-14.08	9.08	0.000	-3.13	-2.99	-0.34	0.27	-0.96	0.12	-73.00	-15.51	102153.819	102153.819	18.000	1.222	0.413	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.4014	1	-225.413	0.0000	102152.976	102152.976	0.000	-7.70	-14.08	9.08	0.000	-3.13	-2.99	-0.34	0.27	-0.96	0.12	-73.00	-15.51	102152.976	102152.976	18.003	1.222	0.482	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
79254.4235	1	-225.413	0.0000	102152.976	102152.976	0.000	-7.70	-14.08	9.08	0.000	-2.70	-2.92	-0.49	0.25	-0.95	0.12	-73.89	-14.57	102152.976	102152.976	18.003	1.222	0.482	2017-05-23T01:00:55.000Z	-27.599454	-48.518120	127.7	0.01	3	0	1	50	0	
