Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
53661.8816	1	-181.328	3.1079	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	2.46	14.41	1.47	0.17	-0.67	0.19	-69.33	-13.33	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	5.882	1	50	0	
53661.9100	1	-181.328	2.5376	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	2.46	14.41	1.47	0.17	-0.67	0.19	-69.33	-13.33	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53661.9323	1	-181.328	2.5376	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	-4.92	37.50	3.86	-0.33	-0.50	-0.91	-27.31	17.67	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53661.9581	1	-181.328	2.5376	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	-13.98	-19.10	3.53	-1.65	0.07	-0.04	2.49	87.09	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53661.9805	1	-181.328	2.5376	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	-13.98	-19.10	3.53	-1.65	0.07	-0.04	2.49	87.09	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53662.0027	1	-181.328	2.5376	101990.616	101996.498	4.012	6.94	-28.93	15.50	9.910	-2.98	-62.98	7.50	-0.56	-0.64	1.30	-24.36	21.26	101990.616	101996.498	26.549	1.186	-0.055	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53662.0249	1	-181.884	2.5376	101992.662	101996.584	4.012	6.94	-28.93	15.50	9.910	-1.01	78.78	5.53	-1.07	0.13	0.61	6.11	59.90	101992.662	101996.584	26.548	1.186	-0.224	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53662.0540	1	-181.884	2.5376	101992.662	101996.584	4.012	6.94	-28.93	15.50	9.910	-1.01	78.78	5.53	-1.07	0.13	0.61	6.11	59.90	101992.662	101996.584	26.548	1.186	-0.224	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53662.0761	1	-181.884	2.5376	101992.662	101996.584	4.012	6.94	-28.93	15.50	9.910	-7.21	6.55	4.44	-0.76	0.08	-0.95	3.73	38.66	101992.662	101996.584	26.548	1.186	-0.224	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	3.922	1	50	0	
53662.1089	1	-181.884	1.7943	101992.662	101996.584	4.012	6.94	-28.93	15.50	9.910	-4.32	-73.04	0.12	-0.26	-0.45	0.75	-29.50	16.64	101992.662	101996.584	26.548	1.186	-0.224	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.1367	1	-181.884	1.7943	101992.662	101996.584	4.012	6.94	-28.93	15.50	9.910	-4.32	-73.04	0.12	-0.26	-0.45	0.75	-29.50	16.64	101992.662	101996.584	26.548	1.186	-0.224	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.1589	1	-180.819	1.7943	101988.743	101990.704	4.012	6.94	-28.93	15.50	9.910	-0.63	32.50	3.11	0.33	-0.14	0.80	-9.44	-22.27	101988.743	101990.704	26.550	1.186	0.100	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.1872	1	-180.819	1.7943	101988.743	101990.704	4.012	6.94	-28.93	15.50	9.910	-18.72	24.82	0.79	-0.78	-0.27	-0.91	-12.74	39.20	101988.743	101990.704	26.550	1.186	0.100	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.2109	1	-180.819	1.7943	101988.743	101990.704	4.012	6.94	-28.93	15.50	9.910	-18.72	24.82	0.79	-0.78	-0.27	-0.91	-12.74	39.20	101988.743	101990.704	26.550	1.186	0.100	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.2334	1	-180.819	1.7943	101988.743	101990.704	4.012	6.94	-28.93	15.50	9.910	-11.80	49.25	1.08	-0.22	-0.62	-0.14	-67.52	18.99	101988.743	101990.704	26.550	1.186	0.100	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.2581	1	-180.819	1.7943	101988.743	101990.704	4.012	6.94	-28.93	15.50	9.910	7.31	-5.45	-7.79	0.23	1.54	4.75	17.91	-2.64	101988.743	101990.704	26.550	1.186	0.100	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	1.961	1	50	0	
53662.2929	1	-181.337	4.0123	101990.650	101992.611	4.012	6.94	-28.93	15.50	9.910	14.87	52.56	-6.75	1.52	-0.18	-0.09	-6.84	-82.37	101990.650	101992.611	26.551	1.186	-0.058	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.3715	1	-181.337	4.0123	101990.650	101992.611	0.000	6.94	-28.93	15.50	11.419	-13.45	4.72	-0.43	-1.02	0.08	-0.92	3.18	47.79	101990.650	101992.611	26.551	1.186	-0.058	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.3939	1	-181.337	4.0123	101990.650	101992.611	0.000	6.94	-28.93	15.50	11.419	-18.35	27.92	1.47	-0.46	-0.27	0.29	-26.25	49.23	101990.650	101992.611	26.551	1.186	-0.058	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.4159	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	-18.35	27.92	1.47	-0.46	-0.27	0.29	-26.25	49.23	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.4378	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	-20.73	15.16	3.33	-0.32	0.54	2.24	13.47	7.81	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.4615	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	-0.63	60.40	-2.00	-1.60	-0.85	-1.69	-20.04	40.33	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.4834	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	-0.63	60.40	-2.00	-1.60	-0.85	-1.69	-20.04	40.33	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.5054	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	2.27	19.07	2.66	0.42	-0.63	0.50	-44.00	-27.55	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
53662.5273	1	-182.044	4.0123	101993.249	102003.053	0.000	6.94	-28.93	15.50	11.419	2.27	19.07	2.66	0.42	-0.63	0.50	-44.00	-27.55	101993.249	102003.053	26.551	1.186	-0.273	2017-04-28T17:54:19.000Z	-27.663427	-48.790045	184.9	0.02	3	9.804	1	50	0	
