Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
48433.0371	0	-272.045	0.0000	102324.943	102324.943	5.951	0	0	0	6.470	-3.36	-3.44	-0.41	1.00	0.18	0.13	10.41	-77.22	102324.943	102324.943	25.145	1.195	0.257		0.000000	0.000000	0	0	1	0.000	0	0	0	0.003	0.000	0.018	0.00	1	0	0	@t#c%$0#1$	
48433.0596	0	-272.045	0.0000	102324.943	102324.943	5.951	0	0	0	6.470	-3.36	-3.44	-0.41	1.00	0.18	0.13	10.41	-77.22	102324.943	102324.943	25.145	1.195	0.257		0.000000	0.000000	0	0	1	0.000	0	0	0	0.003	0.000	0.018	0.00	1	0	0	@t#c%$0#1$	
48433.0818	0	-272.045	0.0000	102324.943	102324.943	5.951	0	0	0	6.470	-3.53	-4.03	-0.50	1.00	0.19	0.12	10.62	-77.33	102324.943	102324.943	25.145	1.195	0.257		0.000000	0.000000	0	0	1	0.000	0	0	0	0.003	0.000	0.018	0.00	1	0	0	@t#c%$0#1$	
48433.1058	0	-273.241	0.0000	102329.356	102329.356	3.589	0	0	0	10.071	-3.48	-3.21	-0.21	1.00	0.18	0.25	10.16	-72.77	102329.356	102329.356	25.146	1.195	-0.107		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.1924	0	-273.241	0.0000	102329.356	102329.356	3.589	0	0	0	10.071	-3.48	-3.21	-0.21	1.00	0.18	0.25	10.16	-72.77	102329.356	102329.356	25.146	1.195	-0.107		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.2150	0	-273.241	0.0000	102329.356	102329.356	3.589	0	0	0	10.071	-3.73	-3.19	-0.40	0.99	0.19	0.13	10.97	-76.77	102329.356	102329.356	25.146	1.195	-0.107		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.2431	0	-273.241	0.0000	102329.356	102329.356	3.589	0	0	0	10.071	-3.39	-3.28	-0.38	1.00	0.19	0.13	10.47	-77.21	102329.356	102329.356	25.146	1.195	-0.107		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.2660	0	-273.241	0.0000	102329.356	102329.356	3.589	0	0	0	10.071	-3.39	-3.28	-0.38	1.00	0.19	0.13	10.47	-77.21	102329.356	102329.356	25.146	1.195	-0.107		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.2921	0	-273.268	0.0000	102329.457	102329.457	3.589	0	0	0	10.071	-3.47	-3.24	-0.44	1.00	0.19	0.13	10.54	-77.20	102329.457	102329.457	25.148	1.195	-0.115		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.3190	0	-273.268	0.0000	102329.457	102329.457	3.589	0	0	0	10.071	-3.59	-3.42	-0.40	1.00	0.19	0.13	10.43	-77.23	102329.457	102329.457	25.148	1.195	-0.115		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.3413	0	-273.268	0.0000	102329.457	102329.457	3.589	0	0	0	10.071	-3.59	-3.42	-0.40	1.00	0.19	0.13	10.43	-77.23	102329.457	102329.457	25.148	1.195	-0.115		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.3635	0	-273.268	0.0000	102329.457	102329.457	3.589	0	0	0	10.071	-3.44	-3.36	-0.60	1.00	0.19	0.13	10.68	-77.15	102329.457	102329.457	25.148	1.195	-0.115		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.3861	0	-273.268	0.0000	102329.457	102329.457	3.589	0	0	0	10.071	-3.36	-3.27	-0.49	0.99	0.19	0.13	10.52	-77.28	102329.457	102329.457	25.148	1.195	-0.115		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.4161	0	-272.970	0.0000	102328.358	102328.358	3.589	0	0	0	10.071	-3.36	-3.27	-0.49	0.99	0.19	0.13	10.52	-77.28	102328.358	102328.358	25.149	1.195	-0.024		0.000000	0.000000	0	0	1	0.000	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.4444	0	-272.970	0.0000	102328.358	102328.358	3.589	0	0	0	10.071	-3.42	-3.28	-0.52	1.00	0.19	0.14	10.69	-76.82	102328.358	102328.358	25.149	1.195	-0.024		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.4772	0	-272.970	0.0000	102328.358	102328.358	3.589	0	0	0	10.071	-3.48	-3.50	-0.32	0.99	0.19	0.13	10.59	-77.11	102328.358	102328.358	25.149	1.195	-0.024		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.5066	0	-272.970	0.0000	102328.358	102328.358	3.589	0	0	0	10.071	-3.51	-3.22	-0.52	1.00	0.19	0.12	10.44	-77.58	102328.358	102328.358	25.149	1.195	-0.024		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.5298	0	-272.970	0.0000	102328.358	102328.358	3.589	0	0	0	10.071	-3.51	-3.22	-0.52	1.00	0.19	0.12	10.44	-77.58	102328.358	102328.358	25.149	1.195	-0.024		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.5527	0	-272.340	0.0000	102326.033	102326.033	3.589	0	0	0	10.071	-3.36	-2.99	-0.72	1.00	0.19	0.13	10.63	-76.94	102326.033	102326.033	25.149	1.195	0.167		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.5750	0	-272.340	0.0000	102326.033	102326.033	3.589	0	0	0	10.071	-3.36	-2.99	-0.72	1.00	0.19	0.13	10.63	-76.94	102326.033	102326.033	25.149	1.195	0.167		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.5974	0	-272.340	0.0000	102326.033	102326.033	3.589	0	0	0	10.071	-3.51	-3.10	-0.05	1.01	0.19	0.14	10.84	-76.72	102326.033	102326.033	25.149	1.195	0.167		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.6233	0	-272.340	0.0000	102326.033	102326.033	3.589	0	0	0	10.071	-3.73	-3.37	-0.32	1.00	0.19	0.14	10.46	-76.86	102326.033	102326.033	25.149	1.195	0.167		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.6455	0	-272.340	0.0000	102326.033	102326.033	3.589	0	0	0	10.071	-3.73	-3.37	-0.32	1.00	0.19	0.14	10.46	-76.86	102326.033	102326.033	25.149	1.195	0.167		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.6694	0	-272.837	0.0000	102327.866	102327.866	3.589	0	0	0	10.071	-3.36	-3.28	-0.53	1.00	0.19	0.00	10.73	-79.27	102327.866	102327.866	25.146	1.195	0.016		0.000000	0.000000	0	0	1	0	0	0	0	-0.015	-0.015	0.021	0.00	1	0	0	@t#c%$0#1$	
48433.7496	0	-272.837	0.0000	102327.866	102327.866	4.914	0	0	0	7.613	-3.44	-3.36	-0.43	1.00	0.19	0.13	10.44	-77.25	102327.866	102327.866	25.146	1.195	0.016		0.000000	0.000000	0	0	1	0	0	0	0	-0.022	0.001	0.007	0.00	1	0	0	@t#c%$0#1$	
48433.7721	0	-272.837	0.0000	102327.866	102327.866	4.914	0	0	0	7.613	-3.21	-3.57	-0.46	1.00	0.19	0.25	10.33	-72.79	102327.866	102327.866	25.146	1.195	0.016		0.000000	0.000000	0	0	1	0	0	0	0	-0.022	0.001	0.007	0.00	1	0	0	@t#c%$0#1$	
