Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
81787.6878	1	67.172	2.1976	101079.320	101082.262	0.000	0.38	-2.30	3.49	0.000	-3.65	-2.34	0.26	1.05	-0.15	0.11	-8.12	-79.84	101079.320	101082.262	21.853	1.194	-4.477	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.7157	1	67.172	2.1976	101079.320	101082.262	0.000	0.38	-2.30	3.49	0.000	-3.21	-3.19	-0.06	1.02	-0.10	0.13	-5.57	-80.89	101079.320	101082.262	21.853	1.194	-4.477	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.7397	1	67.172	2.1976	101079.320	101082.262	0.000	0.38	-2.30	3.49	0.000	-3.21	-3.19	-0.06	1.02	-0.10	0.13	-5.57	-80.89	101079.320	101082.262	21.853	1.194	-4.477	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.7618	1	67.172	2.1976	101079.320	101082.262	0.000	0.38	-2.30	3.49	0.000	-2.98	-3.50	-0.40	1.06	-0.07	0.25	-3.89	-76.37	101079.320	101082.262	21.853	1.194	-4.477	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.7958	1	67.172	2.1976	101079.320	101082.262	0.000	0.38	-2.30	3.49	0.000	-2.89	-3.13	0.72	1.04	-0.11	0.13	-6.14	-80.67	101079.320	101082.262	21.853	1.194	-4.477	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.8180	1	67.163	2.1976	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-2.89	-3.13	0.72	1.04	-0.11	0.13	-6.14	-80.67	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.8400	1	67.163	2.1976	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-2.49	-2.93	-0.11	1.08	-0.25	0.11	-12.91	-75.78	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.8660	1	67.163	2.1976	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-2.24	-2.69	0.23	1.08	-0.19	0.12	-10.15	-78.16	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	2.941	1	50	0	@t#c%$0#1$	
81787.8879	1	67.163	0.0000	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-2.24	-2.69	0.23	1.08	-0.19	0.12	-10.15	-78.16	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	0.000	1	50	0	@t#c%$0#1$	
81787.9100	1	67.163	0.0000	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-3.53	-3.30	-0.38	1.02	-0.14	0.00	-7.99	-82.01	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	0.000	1	50	0	@t#c%$0#1$	
81787.9319	1	67.163	0.0000	101079.352	101082.293	0.000	0.38	-2.30	3.49	0.000	-3.53	-3.30	-0.38	1.02	-0.14	0.00	-7.99	-82.01	101079.352	101082.293	21.853	1.194	-4.480	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	0.000	1	50	0	@t#c%$0#1$	
81787.9646	1	66.727	0.0000	101080.948	101080.948	0.000	0.38	-2.30	3.49	0.000	-4.00	-3.92	0.12	1.02	-0.10	0.13	-5.74	-80.87	101080.948	101080.948	21.856	1.194	-4.613	2017-06-09T01:43:08.000Z	-27.585538	-48.550871	323.8	0.03	3	0.000	1	50	0	@t#c%$0#1$	
