Tempo,Corrente1,Corrente2,Corrente3,Tensão Bateria,PWM1,PWM2,PWM3,
Segundos,A,A,A,V,Microssec,Microssec,Microssec,
3,-0.010,-0.015,0.016,0.00,1,0,0
,
643,-0.010,-0.015,0.016,0.00,1,0,0
,
1782,-0.009,-0.016,-0.010,0.00,1,0,0,
2401,-0.020,-0.006,0.007,0.00,1,0,0,
3016,-0.013,-0.015,0.023,0.00,1,0,0,
3631,-0.027,0.005,0.007,0.00,1,0,0,
4273,-0.013,-0.007,0.019,0.00,1,0,0,
4924,-0.018,-0.003,0.014,0.00,1,0,0,
5546,-0.031,-0.006,-0.000,0.00,1,0,0,
6169,-0.018,0.010,-0.006,0.00,1,0,0,
6793,-0.007,-0.016,0.008,0.00,1,0,0,
7420,0.003,-0.009,0.004,0.00,1,0,0,
8048,-0.011,-0.008,0.025,0.00,1,0,0,
8669,-0.005,0.002,0.018,0.01,1,0,0,
9302,-0.016,-0.004,0.011,0.00,1,0,0,
9941,-0.014,-0.013,0.022,0.00,1,0,0,
10562,-0.013,-0.001,0.023,0.00,1,0,0,
11183,0.003,-0.004,0.009,0.00,1,0,0,
11804,-0.016,0.013,-0.004,0.00,1,0,0,
12431,-0.010,-0.005,0.009,0.00,1,0,0,
13050,-0.007,-0.005,0.018,0.00,1,0,0,
13668,0.008,0.002,-0.001,0.00,1,0,0,
14295,-0.004,0.009,0.008,0.01,1,0,0,
14931,0.005,-0.009,0.012,0.00,1,0,0,
15548,-0.006,0.001,0.030,0.00,1,0,0,
16187,-0.014,-0.011,0.014,0.00,1,0,0,
16816,-0.007,-0.020,0.005,0.01,1,0,0,
17451,-0.020,-0.005,0.010,0.01,1,0,0,
18080,-0.007,-0.003,0.021,0.00,1,0,0,
18707,-0.007,0.003,-0.002,0.01,1,0,0,
19356,-0.006,-0.006,0.003,0.00,1,0,0,
19983,0.010,0.002,0.020,0.00,1,0,0,
20608,-0.014,-0.020,0.033,0.00,1,0,0,
21221,-0.006,0.009,0.011,0.01,1,0,0,
21833,-0.003,0.002,0.019,0.00,1,0,0,
22458,-0.013,0.002,0.020,0.00,1,0,0,
23084,-0.011,-0.016,-0.010,0.00,1,0,0,
23709,-0.009,-0.010,0.013,0.00,1,0,0,
24357,-0.016,-0.001,0.020,0.00,1,0,0,
24981,-0.023,0.007,0.023,0.00,1,0,0,
25608,0.004,-0.007,0.007,0.00,1,0,0,
26233,-0.011,-0.019,-0.000,0.00,1,0,0,
26858,-0.012,-0.002,0.013,0.00,1,0,0,
27491,-0.023,-0.010,0.006,0.00,1,0,0,
28116,-0.017,-0.006,0.018,0.00,1,0,0,
28740,-0.017,0.001,0.010,0.00,1,0,0,
29393,0.009,0.008,0.015,0.00,1,0,0,
30017,-0.016,-0.005,0.020,0.00,1,0,0,
30645,-0.016,0.009,-0.000,0.00,1,0,0,
31270,-0.004,-0.015,0.009,0.00,1,0,0,
31898,-0.011,-0.006,0.008,0.00,1,0,0,
32527,-0.017,-0.005,0.024,0.00,1,0,0,
33153,-0.005,-0.005,-0.010,0.00,1,0,0,
33779,-0.010,-0.002,0.016,0.00,1,0,0,
34433,-0.014,0.009,0.018,0.00,1,0,0,
35059,-0.015,0.012,0.017,0.00,1,0,0,
35686,-0.010,0.003,0.022,0.00,2,0,0,
36313,-0.009,-0.008,0.011,0.00,1,0,0,
36938,-0.017,0.011,0.007,0.00,1,0,0,
37567,-0.004,-0.007,0.022,0.00,1,0,0,
38192,-0.008,-0.008,0.012,0.01,2,0,0,
38818,-0.019,-0.017,0.020,0.00,8,0,0,
39476,-0.014,0.002,0.007,0.00,1,0,0,
40101,-0.001,-0.005,0.008,0.00,1,0,0,
40730,-0.006,-0.006,0.008,0.01,1,0,0,
41355,-0.007,-0.012,0.012,0.00,16,0,0,
41982,-0.018,0.001,0.025,0.00,7815,0,0,
42611,-0.005,0.005,0.021,0.00,7739,0,0,
43256,-0.001,0.004,0.008,0.00,7767,0,0,
43896,-0.021,-0.004,0.006,0.00,7781,0,0,
44591,-0.011,0.005,0.016,0.00,7924,0,0,
45226,-0.001,-0.004,0.011,0.00,7180,0,0,
45894,-0.013,0.011,0.029,0.00,7154,0,0,
46506,-0.005,-0.008,0.023,0.00,7152,0,0,
47192,0.006,-0.004,0.025,0.00,7148,0,0,
47902,-0.002,0.004,0.012,0.00,7171,0,0,
48543,-0.012,-0.005,0.024,0.00,7194,0,0,
49172,-0.003,-0.018,0.025,0.00,7181,0,0,
49817,0.002,-0.005,0.017,0.00,7194,0,0,
50428,-0.004,-0.015,0.018,0.00,7444,0,0,
51040,-0.008,-0.005,0.016,0.00,7643,0,0,
51660,-0.004,0.001,0.012,0.00,1,0,0,
52292,0.002,-0.011,0.025,0.00,7597,0,0,
52918,-0.014,-0.013,0.018,0.00,8244,0,0,
53542,-0.003,-0.011,0.011,0.00,8550,0,0,
54166,0.001,-0.000,0.033,0.00,7582,0,0,
54834,-0.018,-0.004,0.012,0.00,7845,0,0,
55482,-0.009,0.001,0.020,0.00,7840,0,0,
56109,-0.016,0.014,0.010,0.00,7431,0,0,
56738,-0.016,0.011,-0.008,0.00,7725,0,0,
57367,-0.006,-0.002,0.014,0.00,1,0,0,
57991,-0.006,-0.024,0.020,0.00,1,0,0,
58621,-0.002,-0.012,0.003,0.00,1,0,0,
