Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
84706.6797	1	30.146	25.4076	101214.684	101607.821	0.000	0	0	0	22.626	-3.60	-3.33	-0.52	-0.02	-0.02	1.12	-0.88	1.05	101214.684	101607.821	24.463	1.185	-0.244	None	0.000000	0.000000	0	0	1	393.137	1	50	0	@t#c%$0#1$	
84706.7056	1	30.146	0.0000	101214.684	101607.821	0.000	0	0	0	22.626	-3.25	-3.10	-0.37	-0.01	-0.01	1.02	-0.38	0.57	101214.684	101607.821	24.463	1.185	-0.244	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.7643	1	30.254	0.0000	101214.287	101214.287	18.990	0	0	0	23.084	-3.51	-3.21	-0.14	-0.01	-0.01	1.00	-0.31	0.73	101214.287	101214.287	24.454	1.185	-0.211	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.7865	1	30.254	0.0000	101214.287	101214.287	18.990	0	0	0	23.084	-3.50	-3.27	-0.41	-0.02	-0.01	1.00	-0.81	1.21	101214.287	101214.287	24.454	1.185	-0.211	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.8126	1	30.254	0.0000	101214.287	101214.287	18.990	0	0	0	23.084	-3.34	-3.25	-0.17	-0.01	0.00	1.04	0.05	0.57	101214.287	101214.287	24.454	1.185	-0.211	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.8351	1	30.254	0.0000	101214.287	101214.287	18.990	0	0	0	23.084	-3.34	-3.25	-0.17	-0.01	0.00	1.04	0.05	0.57	101214.287	101214.287	24.454	1.185	-0.211	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.8574	1	30.254	0.0000	101214.287	101214.287	18.990	0	0	0	23.084	-3.19	-3.21	-0.34	-0.01	-0.01	1.00	-0.53	0.45	101214.287	101214.287	24.454	1.185	-0.211	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.8795	1	30.825	0.0000	101212.198	101212.198	18.990	0	0	0	23.084	-3.39	-3.24	-0.24	-0.03	-0.01	0.99	-0.31	1.66	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.9123	1	30.825	0.0000	101212.198	101212.198	18.990	0	0	0	23.084	-3.39	-3.24	-0.24	-0.03	-0.01	0.99	-0.31	1.66	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	0	1	50	0	@t#c%$0#1$	
84706.9400	1	30.825	15.0126	101212.198	101212.198	18.990	0	0	0	23.084	-3.36	-3.28	-0.20	-0.01	-0.01	1.01	-0.69	0.64	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84706.9725	1	30.825	15.0126	101212.198	101212.198	18.990	0	0	0	23.084	-3.50	-3.22	-0.21	-0.01	-0.01	1.02	-0.33	0.33	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84706.9963	1	30.825	15.0126	101212.198	101212.198	18.990	0	0	0	23.084	-3.45	-3.02	-0.23	-0.02	-0.01	1.01	-0.55	1.19	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.0209	1	30.825	15.0126	101212.198	101212.198	18.990	0	0	0	23.084	-3.45	-3.02	-0.23	-0.02	-0.01	1.01	-0.55	1.19	101212.198	101212.198	24.457	1.185	-0.037	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.0469	1	30.475	15.0126	101213.480	101350.735	18.990	0	0	0	23.084	-3.34	-3.11	-0.34	-0.02	-0.01	1.01	-0.58	1.16	101213.480	101350.735	24.457	1.185	-0.144	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.0725	1	30.475	15.0126	101213.480	101350.735	18.990	0	0	0	23.084	-3.25	-3.15	-0.14	-0.02	-0.01	1.00	-0.45	0.98	101213.480	101350.735	24.457	1.185	-0.144	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.0947	1	30.475	15.0126	101213.480	101350.735	18.990	0	0	0	23.084	-3.25	-3.15	-0.14	-0.02	-0.01	1.00	-0.45	0.98	101213.480	101350.735	24.457	1.185	-0.144	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.1174	1	30.475	15.0126	101213.480	101350.735	18.990	0	0	0	23.084	-3.48	-3.07	-0.41	-0.01	-0.01	1.01	-0.31	0.53	101213.480	101350.735	24.457	1.185	-0.144	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.1486	1	30.475	15.0126	101213.480	101350.735	18.990	0	0	0	23.084	-3.42	-3.07	-0.35	-0.02	-0.01	1.02	-0.50	1.05	101213.480	101350.735	24.457	1.185	-0.144	None	0.000000	0.000000	0	0	1	137.255	1	50	0	@t#c%$0#1$	
84707.1714	1	31.008	28.8494	101211.530	101348.785	18.990	0	0	0	23.084	-3.42	-3.07	-0.35	-0.02	-0.01	1.02	-0.50	1.05	101211.530	101348.785	24.457	1.185	0.018	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.1936	1	31.008	28.8494	101211.530	101348.785	18.990	0	0	0	23.084	-3.56	-2.73	-0.58	-0.02	-0.01	1.01	-0.83	1.03	101211.530	101348.785	24.457	1.185	0.018	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.2217	1	31.008	28.8494	101211.530	101348.785	18.990	0	0	0	23.084	-3.13	-7.51	-0.08	-0.12	-0.00	1.00	-0.28	7.09	101211.530	101348.785	24.457	1.185	0.018	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.2455	1	31.008	28.8494	101211.530	101348.785	18.990	0	0	0	23.084	-3.13	-7.51	-0.08	-0.12	-0.00	1.00	-0.28	7.09	101211.530	101348.785	24.457	1.185	0.018	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.2729	1	30.366	28.8494	101213.878	101720.741	18.990	0	0	0	23.084	-3.45	-2.93	-0.34	-0.01	-0.00	1.00	-0.25	0.81	101213.878	101720.741	24.456	1.185	-0.177	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.3316	1	30.366	28.8494	101213.878	101720.741	0.000	0	0	0	29.702	-3.30	-3.04	-0.43	-0.02	-0.02	1.00	-1.20	1.23	101213.878	101720.741	24.456	1.185	-0.177	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.3540	1	30.366	28.8494	101213.878	101720.741	0.000	0	0	0	29.702	-3.31	-3.25	-0.26	-0.01	0.12	1.00	7.06	0.47	101213.878	101720.741	24.456	1.185	-0.177	None	0.000000	0.000000	0	0	1	506.863	1	50	0	@t#c%$0#1$	
84707.3780	1	30.366	27.5068	101213.878	101720.741	0.000	0	0	0	29.702	-3.24	-3.25	-0.29	-0.02	-0.01	1.01	-0.61	1.00	101213.878	101720.741	24.456	1.185	-0.177	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.4168	1	30.366	27.5068	101213.878	101720.741	0.000	0	0	0	29.702	-3.24	-3.25	-0.29	-0.02	-0.01	1.01	-0.61	1.00	101213.878	101720.741	24.456	1.185	-0.177	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.4391	1	30.268	27.5068	101214.236	101675.020	0.000	0	0	0	29.702	-3.44	-2.96	-0.27	-0.02	-0.02	1.00	-1.37	1.17	101214.236	101675.020	24.458	1.185	-0.207	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.4646	1	30.268	27.5068	101214.236	101675.020	0.000	0	0	0	29.702	-3.39	-2.99	-0.37	-0.01	-0.00	1.00	-0.14	0.61	101214.236	101675.020	24.458	1.185	-0.207	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.4866	1	30.268	27.5068	101214.236	101675.020	0.000	0	0	0	29.702	-3.39	-2.99	-0.37	-0.01	-0.00	1.00	-0.14	0.61	101214.236	101675.020	24.458	1.185	-0.207	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.5086	1	30.268	27.5068	101214.236	101675.020	0.000	0	0	0	29.702	-3.40	-2.73	-0.29	-0.02	-0.01	1.01	-0.39	1.03	101214.236	101675.020	24.458	1.185	-0.207	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.5309	1	30.268	27.5068	101214.236	101675.020	0.000	0	0	0	29.702	-3.45	-3.18	-0.26	-0.02	-0.01	1.00	-0.79	1.23	101214.236	101675.020	24.458	1.185	-0.207	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.5604	1	29.972	27.5068	101215.319	101676.103	0.000	0	0	0	29.702	-3.45	-3.18	-0.26	-0.02	-0.01	1.00	-0.79	1.23	101215.319	101676.103	24.459	1.185	-0.297	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.5825	1	29.972	27.5068	101215.319	101676.103	0.000	0	0	0	29.702	-3.42	-2.98	-0.26	-0.01	-0.01	1.01	-0.50	0.78	101215.319	101676.103	24.459	1.185	-0.297	None	0.000000	0.000000	0	0	1	460.784	1	50	0	@t#c%$0#1$	
84707.6152	1	29.972	24.7659	101215.319	101676.103	0.000	0	0	0	29.702	-3.53	-3.25	-0.24	-0.01	-0.12	1.03	-6.92	0.65	101215.319	101676.103	24.459	1.185	-0.297	None	0.000000	0.000000	0	0	1	373.529	1	50	0	@t#c%$0#1$	
84707.6409	1	29.972	24.7659	101215.319	101676.103	0.000	0	0	0	29.702	-3.53	-3.25	-0.24	-0.01	-0.12	1.03	-6.92	0.65	101215.319	101676.103	24.459	1.185	-0.297	None	0.000000	0.000000	0	0	1	373.529	1	50	0	@t#c%$0#1$	
84707.6630	1	29.972	24.7659	101215.319	101676.103	0.000	0	0	0	29.702	-3.42	-3.24	-0.26	-0.02	-0.02	1.00	-0.90	0.95	101215.319	101676.103	24.459	1.185	-0.297	None	0.000000	0.000000	0	0	1	373.529	1	50	0		
84707.6949	1	30.835	24.7659	101212.162	101585.691	0.000	0	0	0	29.702	-3.37	-3.08	-0.26	-0.01	-0.02	1.01	-0.94	0.55	101212.162	101585.691	24.462	1.185	-0.034	None	0.000000	0.000000	0	0	1	373.529	1	50	0		
84707.7195	1	30.835	24.7659	101212.162	101585.691	0.000	0	0	0	29.702	-3.37	-3.08	-0.26	-0.01	-0.02	1.01	-0.94	0.55	101212.162	101585.691	24.462	1.185	-0.034	None	0.000000	0.000000	0	0	1	373.529	1	50	0		
84707.7424	1	30.835	24.7659	101212.162	101585.691	0.000	0	0	0	29.702	-3.21	-3.15	-0.34	-0.01	-0.00	1.01	-0.06	0.61	101212.162	101585.691	24.462	1.185	-0.034	None	0.000000	0.000000	0	0	1	373.529	1	50	0		
