Tempo,Corrente1,Corrente2,Corrente3,Tensão Bateria,PWM1,PWM2,PWM3,
Segundos,A,A,A,V,Microssec,Microssec,Microssec,
5,-0.014,-0.023,0.012,0.00,4,0,0,
1476,-0.014,-0.023,0.012,0.00,4,0,0,
1905,-0.021,-0.019,0.010,0.00,29,0,0,
2323,-0.011,-0.015,0.014,0.00,1,0,0,
2739,-0.007,0.002,0.015,0.00,1,0,0,
3185,-0.012,-0.008,0.020,0.00,1,0,0,
3605,-0.021,-0.007,0.001,0.00,1,0,0,
4016,-0.002,-0.004,0.018,0.00,1,0,0,
4416,-0.007,-0.015,0.020,0.00,3,0,0,
4819,-0.012,0.008,0.019,0.00,1,0,0,
5231,-0.021,-0.011,0.007,0.00,3,0,0,
5639,-0.007,-0.004,0.002,0.00,1,0,0,
6047,-0.010,0.001,0.028,0.00,3,0,0,
6469,-0.013,-0.012,0.018,0.00,1,0,0,
6887,-0.005,-0.009,0.027,0.00,4,0,0,
7302,-0.014,-0.003,0.021,0.00,1,0,0,
7716,0.002,-0.010,0.008,0.00,4,0,0,
8154,-0.009,0.003,0.019,0.00,1,0,0,
8561,0.001,0.004,0.015,0.00,3,0,0,
8967,-0.011,-0.009,0.025,0.00,1,0,0,
9375,-0.030,-0.014,0.018,0.00,3,0,0,
9785,-0.018,-0.007,-0.001,0.00,1,0,0,
10193,-0.016,-0.024,0.002,0.00,11,0,0,
10600,-0.010,-0.008,0.003,0.00,1,0,0,
11008,-0.009,-0.003,0.018,0.00,3,0,0,
11416,0.009,-0.004,0.012,0.00,1,0,0,
11824,0.011,-0.024,0.006,0.00,28,0,0,
12238,-0.025,-0.010,0.011,0.00,1,0,0,
12660,-0.010,0.014,0.012,0.00,2,0,0,
13089,-0.014,-0.018,0.007,0.00,1,0,0,
13521,-0.014,-0.003,0.006,0.00,11,0,0,
13938,-0.019,-0.008,0.013,0.00,1,0,0,
14352,-0.015,-0.001,-0.001,0.00,27,0,0,
14767,-0.015,-0.022,0.008,0.00,1,0,0,
15183,-0.000,0.002,0.009,0.00,11,0,0,
15600,-0.018,-0.015,0.021,0.00,1,0,0,
16015,-0.014,-0.008,-0.004,0.00,4,0,0,
16431,-0.004,-0.001,0.016,0.00,1,0,0,
16849,-0.012,-0.009,0.003,0.00,3,0,0,
17266,-0.021,-0.008,0.000,0.00,1,0,0,
17681,-0.012,-0.014,0.014,0.00,3,0,0,
18113,-0.021,0.007,0.011,0.00,1,0,0,
18529,-0.003,-0.009,0.019,0.00,20,0,0,
18946,-0.004,-0.005,0.018,0.00,1,0,0,
19363,-0.013,-0.010,0.012,0.00,3,0,0,
19778,0.002,-0.009,0.020,0.00,8596,0,0,
20199,-0.014,-0.015,0.006,0.00,1,0,0,
20615,-0.017,-0.009,0.005,0.00,3,0,0,
21033,0.002,-0.010,-0.006,0.00,1,0,0,
21448,-0.009,-0.001,-0.007,0.00,3,0,0,
21865,-0.009,-0.003,-0.002,0.00,1,0,0,
22292,-0.013,-0.000,0.003,0.00,18,0,0,
22715,-0.024,-0.007,0.005,0.00,1,0,0,
23160,-0.012,-0.004,0.008,0.00,3,0,0,
23574,-0.008,-0.014,0.021,0.00,1,0,0,
23989,-0.008,-0.009,0.015,0.00,3,0,0,
24405,-0.005,0.004,-0.010,0.00,1,0,0,
24820,0.003,-0.004,0.009,0.00,3,0,0,
25234,-0.005,0.009,0.005,0.00,1,0,0,
25646,-0.018,0.003,0.011,0.00,19,0,0,
26063,-0.016,-0.006,0.028,0.00,1,0,0,
26477,0.005,-0.005,0.015,0.00,12,0,0,
26891,0.000,-0.010,0.014,0.00,1,0,0,
27307,-0.008,-0.004,0.017,0.00,3,0,0,
27725,-0.011,0.006,0.022,0.00,1,0,0,
28175,-0.011,-0.030,-0.009,0.00,3,0,0,
28586,-0.016,-0.002,0.013,0.00,1,0,0,
29001,-0.004,-0.018,0.019,0.00,3,0,0,
29416,-0.024,-0.006,0.021,0.00,1,0,0,
29832,-0.026,-0.002,0.013,0.00,3,0,0,
30247,-0.013,-0.017,0.017,0.00,1,0,0,
30665,-0.010,-0.016,0.011,0.00,4,0,0,
31081,-0.009,-0.017,0.014,0.00,1,0,0,
31495,-0.009,0.007,-0.002,0.00,4,0,0,
31911,-0.006,0.002,0.021,0.00,1,0,0,
32326,-0.007,-0.007,0.002,0.00,3,0,0,
32740,-0.012,-0.013,0.015,0.00,1,0,0,
33157,-0.023,-0.024,0.017,0.00,4,0,0,
33609,-0.007,-0.013,-0.006,0.00,1,0,0,
34024,-0.011,-0.005,0.001,0.00,3,0,0,
34439,-0.011,-0.018,0.017,0.00,1,0,0,
34854,-0.007,-0.012,-0.005,0.00,3,0,0,
35275,-0.005,0.006,0.019,0.00,1,0,0,
35690,-0.015,-0.005,0.007,0.00,3,0,0,
36106,-0.008,-0.018,0.021,0.00,1,0,0,
36521,-0.006,-0.005,0.018,0.00,3,0,0,
36937,-0.018,-0.002,0.012,0.00,1,0,0,
37353,-0.023,-0.011,-0.000,0.00,10,0,0,
37768,-0.020,-0.006,0.006,0.00,1,0,0,
38188,-0.000,0.004,-0.010,0.00,3,0,0,
38619,-0.005,-0.005,0.025,0.00,1,0,0,
39032,-0.007,-0.004,0.020,0.00,11,0,0,
39447,-0.008,-0.004,0.029,0.00,1,0,0,
39868,-0.012,0.006,0.021,0.00,11,0,0,
40287,-0.017,-0.006,0.002,0.00,1,0,0,
40705,0.014,-0.010,-0.006,0.00,3,0,0,
41119,-0.018,0.007,0.000,0.00,1,0,0,
41534,-0.008,-0.009,0.025,0.00,11,0,0,
41950,-0.017,-0.019,0.015,0.00,1,0,0,
42369,-0.007,-0.000,0.007,0.00,11,0,8971,
42788,-0.010,-0.015,0.009,0.00,3,0,0,
43230,-0.013,-0.014,0.035,0.00,1,0,0,
