Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
72193.1670	0	-268.425	0.0000	102311.585	102311.585	0	0	0	0	0	-3.63	-3.68	-0.46	1.00	0.19	0.13	10.64	-77.17	102311.585	102311.585	24.822	1.196	-0.188	2017-07-26T23:03:13.000Z	0.000000	0.000000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.1910	0	-268.425	1.7943	102311.585	102311.585	0	0	0	0	0	-3.24	-3.27	-0.40	1.01	0.20	0.12	11.04	-76.95	102311.585	102311.585	24.822	1.196	-0.188	2017-07-26T23:03:13.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.2138	0	-268.425	1.7943	102311.585	102311.585	0	0	0	0	0	-3.39	-3.16	-0.38	1.00	0.19	0.12	10.76	-77.12	102311.585	102311.585	24.822	1.196	-0.188	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.2363	0	-268.425	1.7943	102311.585	102311.585	0	0	0	0	0	-3.39	-3.16	-0.38	1.00	0.19	0.12	10.76	-77.12	102311.585	102311.585	24.822	1.196	-0.188	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.2611	0	-268.425	1.7943	102311.585	102311.585	0	0	0	0	0	-3.60	-3.50	-0.56	1.00	0.19	0.13	10.87	-76.78	102311.585	102311.585	24.822	1.196	-0.188	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.2856	0	-268.434	1.7943	102311.620	102313.581	0	0	0	0	0	-3.56	-3.76	-0.41	1.01	0.19	0.12	10.77	-77.14	102311.620	102313.581	24.824	1.196	-0.191	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.3216	0	-268.434	1.7943	102311.620	102313.581	0	0	0	0	0	-3.27	-3.18	-0.32	1.00	0.20	0.12	10.97	-77.07	102311.620	102313.581	24.824	1.196	-0.191	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.3454	0	-268.434	1.7943	102311.620	102313.581	0	0	0	0	0	-3.27	-3.18	-0.32	1.00	0.20	0.12	10.97	-77.07	102311.620	102313.581	24.824	1.196	-0.191	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
72193.3678	0	-268.434	1.7943	102311.620	102313.581	0	0	0	0	0	-3.02	-3.07	-0.29	1.12	0.20	0.25	9.67	-74.21	102311.620	102313.581	24.824	1.196	-0.191	2017-07-26T23:03:14.000Z	0.000000	0.000000	0	0	1	1.961	0	0	0	0	0	0	0	0	0	0	@t#c%$0#1$	
