Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
79154.3437	1	83.247	3.8064	101020.600	101029.424	0.000	-2457.83	3166.20	-18.42	0.000	-3.73	-2.87	-0.12	1.02	-0.24	0.14	-12.96	-74.82	101020.600	101029.424	23.389	1.187	-12.971	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	8.824	1	50	0	@t#c%$0#1$	
79154.3711	1	82.924	3.8064	101021.777	101030.600	0.000	-2457.83	3166.20	-18.42	0.000	-3.51	-3.22	-0.03	0.96	-0.21	0.14	-12.08	-75.32	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	8.824	1	50	0	@t#c%$0#1$	
79154.4186	1	82.924	3.8064	101021.777	101030.600	0.000	-2457.83	3166.20	-18.42	0.000	-3.51	-3.22	-0.03	0.96	-0.21	0.14	-12.08	-75.32	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	8.824	1	50	0	@t#c%$0#1$	
79154.4424	1	82.924	3.5887	101021.777	101030.600	0.000	-2457.83	3166.20	-18.42	0.000	-3.63	-3.27	-0.40	0.99	-0.21	0.14	-11.95	-75.64	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.4715	1	82.924	3.5887	101021.777	101030.600	0.000	-2457.83	3166.20	-18.42	0.000	-3.63	-3.27	-0.40	0.99	-0.21	0.14	-11.95	-75.64	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.4934	1	82.924	3.5887	101021.777	101030.600	0.000	-2457.83	3166.20	-18.42	0.000	-3.56	-3.16	-0.23	1.03	-0.24	0.14	-12.93	-74.91	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:11.000Z	-27.573072	-48.539824	243.9	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.5182	1	82.924	3.5887	101021.777	101030.600	0.000	-2457.67	3166.19	-18.28	0.000	-3.47	-2.90	-0.41	1.04	-0.20	0.14	-11.01	-76.70	101021.777	101030.600	23.386	1.187	-13.070	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.5402	1	82.155	3.5887	101024.586	101032.430	0.000	-2457.67	3166.19	-18.28	0.000	-3.47	-2.90	-0.41	1.04	-0.20	0.14	-11.01	-76.70	101024.586	101032.430	23.392	1.187	-13.304	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.5621	1	82.155	3.5887	101024.586	101032.430	0.000	-2457.67	3166.19	-18.28	0.000	-3.39	-3.44	-0.15	1.02	-0.20	0.15	-11.17	-76.21	101024.586	101032.430	23.392	1.187	-13.304	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.5839	1	82.155	3.5887	101024.586	101032.430	0.000	-2457.67	3166.19	-18.28	0.000	-3.39	-3.44	-0.15	1.02	-0.20	0.15	-11.17	-76.21	101024.586	101032.430	23.392	1.187	-13.304	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.6126	1	82.155	3.5887	101024.586	101032.430	0.000	-2457.67	3166.19	-18.28	0.000	-3.40	-3.11	0.29	1.01	-0.22	0.15	-12.30	-75.23	101024.586	101032.430	23.392	1.187	-13.304	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.6344	1	82.155	3.5887	101024.586	101032.430	0.000	-2457.67	3166.19	-18.28	0.000	-3.05	-3.24	-0.20	1.01	-0.24	0.14	-13.11	-74.65	101024.586	101032.430	23.392	1.187	-13.304	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	7.843	1	50	0	@t#c%$0#1$	
79154.6587	1	82.081	3.8064	101024.857	101032.700	0.000	-2457.67	3166.19	-18.28	0.000	-3.05	-3.24	-0.20	1.01	-0.24	0.14	-13.11	-74.65	101024.857	101032.700	23.391	1.187	-13.327	2017-06-09T00:59:12.000Z	-27.573072	-48.539823	243.4	0.07	3	8.824	1	50	0	@t#c%$0#1$	
