Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
77240.8557	1	-206.634	0.0000	102083.790	102083.790	7.064	6.81	-67.12	6.57	0.000	-3.16	-3.33	-3.91	0.21	-1.00	0.12	-76.07	-12.00	102083.790	102083.790	19.219	1.216	0.872	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.8782	1	-206.634	0.0000	102083.790	102083.790	7.064	6.81	-67.12	6.57	0.000	-2.79	-3.31	-0.34	0.25	-1.00	0.01	-76.08	-13.91	102083.790	102083.790	19.219	1.216	0.872	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.9005	1	-206.634	0.0000	102083.790	102083.790	7.064	6.81	-67.12	6.57	0.000	-2.79	-3.31	-0.34	0.25	-1.00	0.01	-76.08	-13.91	102083.790	102083.790	19.219	1.216	0.872	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.9286	1	-206.634	0.0000	102083.790	102083.790	7.064	6.81	-67.12	6.57	0.000	-2.87	-3.28	-0.05	0.23	-0.99	0.01	-77.10	-12.89	102083.790	102083.790	19.219	1.216	0.872	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.9508	1	-207.661	0.0000	102087.573	102087.573	7.064	6.81	-67.12	6.57	0.000	-2.92	-3.40	-0.76	0.22	-0.99	0.01	-77.35	-12.63	102087.573	102087.573	19.223	1.216	0.559	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.9728	1	-207.661	0.0000	102087.573	102087.573	7.064	6.81	-67.12	6.57	0.000	-2.92	-3.40	-0.76	0.22	-0.99	0.01	-77.35	-12.63	102087.573	102087.573	19.223	1.216	0.559	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77240.9946	1	-207.661	0.0000	102087.573	102087.573	7.064	6.81	-67.12	6.57	0.000	-2.81	-3.19	-0.14	0.22	-0.99	0.01	-77.33	-12.65	102087.573	102087.573	19.223	1.216	0.559	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77241.0220	1	-207.661	0.0000	102087.573	102087.573	7.064	6.81	-67.12	6.57	0.000	-2.99	-3.18	-0.44	0.21	-1.00	0.01	-78.11	-11.89	102087.573	102087.573	19.223	1.216	0.559	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77241.0442	1	-207.661	0.0000	102087.573	102087.573	7.064	6.81	-67.12	6.57	0.000	-2.99	-3.18	-0.44	0.21	-1.00	0.01	-78.11	-11.89	102087.573	102087.573	19.223	1.216	0.559	2017-05-23T00:27:17.000Z	-27.602316	-48.518375	151.5	0.16	3	0	1	50	0	
77241.0660	1	-206.916	0.0000	102084.829	102084.829	7.064	6.79	-67.16	6.22	0.000	-2.87	-3.28	-0.38	0.24	-1.00	0.02	-76.16	-13.77	102084.829	102084.829	19.226	1.216	0.786	2017-05-23T00:27:18.000Z	-27.602317	-48.518375	139.4	0.17	3	0	1	50	0	
