Tempo,Item,Taxa de giro em X,Taxa de giro em Y,Taxa de giro em Z,Aceleração em Z,Pitch,Roll,
Segundos,it,º/s,º/s,º/s,g,º,º,
781,164,0,0,0,0.994,0,0,
786,165,0,0,0,0.996,0,0,
791,166,0,0,0,0.997,0,0,
796,167,0,0,0,0.998,0,0,
801,168,0,0,0,0.997,0,0,
806,169,0,0,0,1.123,0,0,
811,170,0,0,0,1.004,0,0,
816,171,0,0,0,0.999,0,0,
820,172,0,0,0,0.996,0,0,
825,173,0,0,0,1.005,0,0,
830,174,0,0,0,0.997,0,0,
834,175,0,0,0,0.997,0,0,
839,176,0,0,0,0.878,0,0,
844,177,0,0,0,0.996,0,0,
849,178,0,0,0,0.995,0,0,
854,179,0,0,0,0.999,0,0,
859,180,0,0,0,1.000,0,0,
863,181,0,0,0,1.009,0,0,
868,182,0,0,0,0.875,0,0,
873,183,0,0,0,1.001,0,0,
877,184,0,0,0,1.014,0,0,
882,185,0,0,0,1.123,0,0,
888,186,0,0,0,1.000,0,0,
892,187,0,0,0,0.875,0,0,
897,188,0,0,0,1.003,0,0,
902,189,0,0,0,1.003,0,0,
907,190,0,0,0,0.995,0,0,
912,191,0,0,0,1.003,0,0,
916,192,0,0,0,0.996,0,0,
921,193,0,0,0,1.001,0,0,
926,194,0,0,0,1.001,0,0,
931,195,0,0,0,1.010,0,0,
935,196,0,0,0,1.008,0,0,
940,197,0,0,0,0.998,0,0,
945,198,0,0,0,1.009,0,0,
950,199,0,0,0,1.008,0,0,
955,200,0,0,0,1.000,0,0,
960,201,0,0,0,1.005,0,0,
965,202,0,0,0,0.999,0,0,
970,203,0,0,0,1.120,0,0,
974,204,0,0,0,1.000,0,0,
979,205,0,0,0,1.002,0,0,
984,206,0,0,0,0.997,0,0,
989,207,0,0,0,1.003,0,0,
994,208,0,0,0,1.007,0,0,
999,209,0,0,0,1.005,0,0,
1004,210,0,0,0,0.999,0,0,
1008,211,0,0,0,0.998,0,0,
1013,212,0,0,0,0.994,0,0,
1018,213,0,0,0,0.994,0,0,
1023,214,0,0,0,1.006,0,0,
1028,215,0,0,0,1.122,0,0,
1032,216,0,0,0,0.999,0,0,
1037,217,0,0,0,0.998,0,0,
1042,218,0,0,0,0.996,0,0,
1047,219,0,0,0,1.000,0,0,
1052,220,0,0,0,0.877,0,0,
1057,221,0,0,0,0.997,0,0,
