Tempo,Tempo GPS,Item,Latitude,Longitude,Altitude,Direção de curso,Velocidade GPS,Velocidade de subida,Erro em X,Erro em Y,Erro da altitude,Erro de velocidade,Erro da velocidade de subida,Nivel de fixação GPS,Latitude de referência,Longitude de referência,Posição X,Posição Y,Distancia absoluta,
Segundos,-,it,º,º,m,º,nós,m/s,m,m,m,nós,m/s,-,-,-,m,m,m,
11516,,61,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
11707,,62,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
11897,,63,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
12088,,64,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
12282,,65,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
12476,,66,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
12666,,67,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
12879,,68,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
13071,,69,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
13266,,70,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
13458,,71,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
13650,,72,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
13861,,73,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
14053,,74,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
14244,,75,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
14444,,76,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
14635,,77,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
14825,,78,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
15062,,79,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
15252,,80,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
15444,,81,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
15634,,82,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
15823,,83,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
16061,,84,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
16253,,85,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
16445,,86,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
16635,,87,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
16824,,88,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
17038,,89,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
